
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda_loader32.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        456  1C7 002D6502 cuStreamBeginCapture_v2_ptsz
        457  1C8 002D6862 cuStreamCopyAttributes
        458  1C9 002D6868 cuStreamCopyAttributes_ptsz
        459  1CA 002D6490 cuStreamCreate
        460  1CB 002D6496 cuStreamCreateWithPriority
        461  1CC 002D64C0 cuStreamDestroy
        462  1CD 002D64C6 cuStreamDestroy_v2
        463  1CE 002D6508 cuStreamEndCapture
        464  1CF 002D650E cuStreamEndCapture_ptsz
        465  1D0 002D686E cuStreamGetAttribute
        466  1D1 002D6874 cuStreamGetAttribute_ptsz
        467  1D2 002D6520 cuStreamGetCaptureInfo
        468  1D3 002D6526 cuStreamGetCaptureInfo_ptsz
        469  1D4 002D64B4 cuStreamGetCtx
        470  1D5 002D64BA cuStreamGetCtx_ptsz
        471  1D6 002D64A8 cuStreamGetFlags
        472  1D7 002D64AE cuStreamGetFlags_ptsz
        473  1D8 002D649C cuStreamGetPriority
        474  1D9 002D64A2 cuStreamGetPriority_ptsz
        475  1DA 002D6514 cuStreamIsCapturing
        476  1DB 002D651A cuStreamIsCapturing_ptsz
        477  1DC 002D64CC cuStreamQuery
        478  1DD 002D64D2 cuStreamQuery_ptsz
        479  1DE 002D687A cuStreamSetAttribute
        480  1DF 002D6880 cuStreamSetAttribute_ptsz
        481  1E0 002D64D8 cuStreamSynchronize
        482  1E1 002D64DE cuStreamSynchronize_ptsz
        483  1E2 002D64E4 cuStreamWaitEvent
        484  1E3 002D64EA cuStreamWaitEvent_ptsz
        485  1E4 002D6382 cuStreamWaitValue32
        486  1E5 002D6388 cuStreamWaitValue32_ptsz
        487  1E6 002D639A cuStreamWaitValue64
        488  1E7 002D63A0 cuStreamWaitValue64_ptsz
        489  1E8 002D638E cuStreamWriteValue32
        490  1E9 002D6394 cuStreamWriteValue32_ptsz
        491  1EA 002D63A6 cuStreamWriteValue64
        492  1EB 002D63AC cuStreamWriteValue64_ptsz
        493  1EC 002D665E cuSurfObjectCreate
        494  1ED 002D6664 cuSurfObjectDestroy
        495  1EE 002D666A cuSurfObjectGetResourceDesc
        496  1EF 002D6340 cuSurfRefGetArray
        497  1F0 002D633A cuSurfRefSetArray
        498  1F1 002D6640 cuTexObjectCreate
        499  1F2 002D6646 cuTexObjectDestroy
        500  1F3 002D664C cuTexObjectGetResourceDesc
