
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        268  10B 00206700 cuMemAllocFromPoolAsync_ptsz
        269  10C 00205C32 cuMemAllocHost
        270  10D 00205C38 cuMemAllocHost_v2
        271  10E 00205BD8 cuMemAllocManaged
        272  10F 00205BCC cuMemAllocPitch
        273  110 00205BD2 cuMemAllocPitch_v2
        274  111 00205BC6 cuMemAlloc_v2
        275  112 0020661C cuMemCreate
        276  113 00206658 cuMemExportToShareableHandle
        277  114 00205BDE cuMemFree
        278  115 002066A6 cuMemFreeAsync
        279  116 002066AC cuMemFreeAsync_ptsz
        280  117 00205C3E cuMemFreeHost
        281  118 00205BE4 cuMemFree_v2
        282  119 00206646 cuMemGetAccess
        283  11A 00205BF6 cuMemGetAddressRange
        284  11B 00205BFC cuMemGetAddressRange_v2
        285  11C 0020664C cuMemGetAllocationGranularity
        286  11D 00206652 cuMemGetAllocationPropertiesFromHandle
        287  11E 00205BEA cuMemGetInfo
        288  11F 00205BF0 cuMemGetInfo_v2
        289  120 00205C44 cuMemHostAlloc
        290  121 00205C4A cuMemHostGetDevicePointer
        291  122 00205C50 cuMemHostGetDevicePointer_v2
        292  123 00205C56 cuMemHostGetFlags
        293  124 00205C5C cuMemHostRegister
        294  125 00205C62 cuMemHostRegister_v2
        295  126 00205C68 cuMemHostUnregister
        296  127 0020665E cuMemImportFromShareableHandle
        297  128 00206628 cuMemMap
        298  129 0020662E cuMemMapArrayAsync
        299  12A 00206634 cuMemMapArrayAsync_ptsz
        300  12B 002066E2 cuMemPoolCreate
        301  12C 002066E8 cuMemPoolDestroy
        302  12D 00206712 cuMemPoolExportPointer
        303  12E 00206706 cuMemPoolExportToShareableHandle
        304  12F 002066DC cuMemPoolGetAccess
        305  130 002066CA cuMemPoolGetAttribute
        306  131 0020670C cuMemPoolImportFromShareableHandle
        307  132 00206718 cuMemPoolImportPointer
        308  133 002066D0 cuMemPoolSetAccess
        309  134 002066C4 cuMemPoolSetAttribute
        310  135 002066BE cuMemPoolTrimTo
        311  136 00205C02 cuMemPrefetchAsync
        312  137 00205C08 cuMemPrefetchAsync_ptsz
        313  138 00205C14 cuMemRangeGetAttribute
        314  139 00205C1A cuMemRangeGetAttributes
        315  13A 00206622 cuMemRelease
        316  13B 00206664 cuMemRetainAllocationHandle
        317  13C 00206640 cuMemSetAccess
        318  13D 0020663A cuMemUnmap
        319  13E 00205C6E cuMemcpy
        320  13F 00205D0A cuMemcpy2D
        321  140 00206244 cuMemcpy2DAsync
        322  141 0020624A cuMemcpy2DAsync_v2
        323  142 00206250 cuMemcpy2DAsync_v2_ptsz
