
Dump of file C:\Windows\System32\clusapi.dll

File Type: DLL

  Section contains the following exports for CLUSAPI.dll

    00000000 characteristics
    F7024D7C time date stamp
        0.00 version
           1 ordinal base
         290 number of functions
         290 number of names

    ordinal hint RVA      name

        280  117 00035880 SetClusterGroupName
        281  118 000358E0 SetClusterGroupNodeList
        282  119 00066930 SetClusterGroupSetDependencyExpression
        283  11A 0000A0C0 SetClusterName
        284  11B 0003ED90 SetClusterNetworkName
        285  11C 0000A930 SetClusterNetworkPriorityOrder
        286  11D 0000A710 SetClusterQuorumResource
        287  11E 000516E0 SetClusterResourceDependencyExpression
        288  11F 00050520 SetClusterResourceName
        289  120 0000C6E0 SetClusterServiceAccountPassword
        290  121 00036520 SetGroupDependencyExpression

  Summary

        7000 .data
        1000 .didat
        7000 .pdata
       54000 .rdata
        2000 .reloc
        2000 .rsrc
       A2000 .text
