
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvwgf2umx_cfg.dll

File Type: DLL

  Section contains the following exports for nvwgf2umx_cfg.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         268 number of functions
         268 number of names

    ordinal hint RVA      name

        218   D7 01050290 ?setPaddingTop@PoolingOperation@cask@@QEAAX_K@Z
        219   D8 010501E0 ?setPerChannelAlphaDptr@PoolingOperation@cask@@QEAAXPEAM@Z
        220   D9 01050BB0 ?setPerChannelAlphaDptr@SoftmaxOperation@cask@@QEAAXPEAM@Z
        221   DA 010501F0 ?setPerChannelBetaDptr@PoolingOperation@cask@@QEAAXPEAM@Z
        222   DB 01050BC0 ?setPerChannelBetaDptr@SoftmaxOperation@cask@@QEAAXPEAM@Z
        223   DC 0104E870 ?setPerChannelScaling@Convolution@cask@@QEAAX_N@Z
        224   DD 0104E870 ?setPerChannelScaling@Gemm@cask@@QEAAX_N@Z
        225   DE 01050220 ?setPoolingMode@PoolingOperation@cask@@QEAAXW4poolingMode_t@12@@Z
        226   DF 00669CA0 ?setReLuFlag@Convolution@cask@@QEAAXH@Z
        227   E0 00669CA0 ?setReLuFlag@ConvolutionWeightGradient@cask@@QEAAXH@Z
        228   E1 00669CA0 ?setReLuFlag@Gemm@cask@@QEAAXH@Z
        229   E2 0104E960 ?setReLuThreshold@Convolution@cask@@QEAAXM@Z
        230   E3 0104E960 ?setReLuThreshold@Gemm@cask@@QEAAXM@Z
        231   E4 0104E950 ?setReLuUpperBound@Convolution@cask@@QEAAXM@Z
        232   E5 01050200 ?setScalingMode@PoolingOperation@cask@@QEAAX_N@Z
        233   E6 01050BD0 ?setScalingMode@SoftmaxOperation@cask@@QEAAX_N@Z
        234   E7 0104E5E0 ?setSparsityRatio@TensorDesc@cask@@QEAAXW4sparseRatio_t@SparsityHint@12@@Z
        235   E8 0104FDE0 ?setSplitH@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        236   E9 0104E880 ?setSplitK@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        237   EA 0104E8A0 ?setSplitKBuffers@Convolution@cask@@QEAAX_K@Z
        238   EB 0104E8A0 ?setSplitKBuffers@ConvolutionWeightGradient@cask@@QEAAX_K@Z
        239   EC 0104E8A0 ?setSplitKBuffers@Gemm@cask@@QEAAX_K@Z
        240   ED 0104E890 ?setSplitKMode@Convolution@cask@@QEAAXV?$SafeEnum@USplitKMode_ENUMCLASS_SCOPEWRAPPER@cask@@@2@@Z
        241   EE 0104E890 ?setSplitKMode@ConvolutionWeightGradient@cask@@QEAAXV?$SafeEnum@USplitKMode_ENUMCLASS_SCOPEWRAPPER@cask@@@2@@Z
        242   EF 0104E890 ?setSplitKMode@Gemm@cask@@QEAAXV?$SafeEnum@USplitKMode_ENUMCLASS_SCOPEWRAPPER@cask@@@2@@Z
        243   F0 0104E8C0 ?setSplitKR@Convolution@cask@@QEAAX_N@Z
        244   F1 0104E8C0 ?setSplitKR@ConvolutionWeightGradient@cask@@QEAAX_N@Z
        245   F2 0104E8C0 ?setSplitKR@Gemm@cask@@QEAAX_N@Z
        246   F3 0104E8B0 ?setSplitKT@Convolution@cask@@QEAAX_N@Z
        247   F4 0104E8B0 ?setSplitKT@ConvolutionWeightGradient@cask@@QEAAX_N@Z
        248   F5 0104E8B0 ?setSplitKT@Gemm@cask@@QEAAX_N@Z
        249   F6 01050350 ?setStrides@PoolingOperation@cask@@QEAA?AV?$SafeEnum@UErrorEnum@cask@@@2@QEB_KI@Z
        250   F7 00669AB0 ?setWeightDesc@Gemm@cask@@QEAAXAEBUTensorDesc@2@@Z
        251   F8 01050250 ?setWindowDims@PoolingOperation@cask@@QEAA?AV?$SafeEnum@UErrorEnum@cask@@@2@QEB_KI@Z
        252   F9 0104F450 ?setWithoutReduction@Gemm@cask@@QEAAXH@Z
