
Dump of file C:\Windows\System32\MapControlCore.dll

File Type: DLL

  Section contains the following exports for MapControlCore.dll

    00000000 characteristics
    D8AEB8AE time date stamp
        0.00 version
           1 ordinal base
         250 number of functions
         250 number of names

    ordinal hint RVA      name

        206   C9 000161B0 ?IsOldChinaRegKeySet@MapsSettings@@SA_NXZ
        209   CA 00015160 ?IsValid@GeoCoordinates@core@@UEBA_NXZ
        210   CB 00015190 ?IsValid@GeoRect@core@@UEBA_NXZ
        211   CC 0001C120 ?IsValid@Route@core@@QEBA_NXZ
        212   CD 0001C280 ?IsValid@RouteLeg@core@@AEBA_NXZ
        213   CE 00016220 ?IsWatermarkEnabled@MapsSettings@@SA_NXZ
        214   CF 00017770 ?OnRouteDone@RouterAdapterCore@@UEAAXAEBURouteResult@engine@@@Z
        215   D0 00017820 ?OnRouteProgress@RouterAdapterCore@@UEAAXK@Z
        216   D1 00017870 ?Post@?$UIThreadCore@UIRouterUI@@@@UEAAXPEAV?$TDispatchItem@UIRouterUI@@@@@Z
        217   D2 00017890 ?ProcessDispatchQueue@?$UIThreadCore@UIRouterUI@@@@QEAAXPEAUIRouterUI@@@Z
        218   D3 0001D5F0 ?RegisterListener@SuspendResumeDispatcher@@SAJPEAVISuspendResumeListener@@PEA_N@Z
        219   D4 00016D90 ?ResetProgress@OperationAdapterCore@@IEAAXXZ
        220   D5 00007DA0 ?RestrictedAPIAccessCheck@ApiAccessCheck@@SAJXZ
        221   D6 0001C370 ?Serialize@Route@core@@QEBAJAEAV?$basic_ostream@DU?$char_traits@D@std@@@std@@@Z
        222   D7 000151B0 ?SetAltitude@GeoCoordinates@core@@UEAAXN@Z
        223   D8 0000DF50 ?SetBackingObject@?$BackedType@V?$shared_ptr@VIManeuver@msnma@@@std@@@core@@QEAAXAEBV?$shared_ptr@VIManeuver@msnma@@@std@@@Z
        224   D9 0000DF50 ?SetBackingObject@?$BackedType@V?$shared_ptr@VIRoute@msnma@@@std@@@core@@QEAAXAEBV?$shared_ptr@VIRoute@msnma@@@std@@@Z
        225   DA 000096B0 ?SetBackingObject@?$BackedType@VGeoCoordinates@ngeo@Microsoft@@@core@@QEAAXAEBVGeoCoordinates@ngeo@Microsoft@@@Z
        226   DB 000096D0 ?SetBackingObject@?$BackedType@VGeoRect@ngeo@Microsoft@@@core@@QEAAXAEBVGeoRect@ngeo@Microsoft@@@Z
        227   DC 000162A0 ?SetBingAuthenticationKey@MapsSettings@@SAJAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        228   DD 00016370 ?SetBingMapsKey@MapsSettings@@SAJAEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z
        230   DE 000178A0 ?SetDispatchEnabled@?$UIThreadCore@UIRouterUI@@@@IEAAX_N@Z
        231   DF 00016490 ?SetEnableManeuverCondensing@MapsSettings@@SAX_N@Z
        232   E0 00016DB0 ?SetErrorCode@OperationAdapterCore@@IEAAXJ@Z
