
Dump of file C:\Windows\System32\dmdskmgr.dll

File Type: DLL

  Section contains the following exports for DMDskMgr.dll

    00000000 characteristics
    83EA7E34 time date stamp
        0.00 version
           1 ordinal base
         233 number of functions
         233 number of names

    ordinal hint RVA      name

        167   A5 00022640 ?IsESPPartition@CDMNodeObj@@QEAAHXZ
        168   A6 00013820 ?IsEfi@CDataCache@@QEAAHXZ
        169   A7 00028320 ?IsEfi@CTaskData@@QEAAHXZ
        170   A8 000226D0 ?IsExtendedPartitionCreated@CDMNodeObj@@QEAAJXZ
        171   A9 00022740 ?IsFTVolume@CDMNodeObj@@QEAAHXZ
        172   AA 00022790 ?IsFakeVolume@CDMNodeObj@@QEAAHXZ
        173   AB 000227D0 ?IsFirstFreeRegion@CDMNodeObj@@QEAAHXZ
        174   AC 000228E0 ?IsFreeSpaceFollowed@CDMNodeObj@@QEAAH_J@Z
        175   AD 00022A10 ?IsHiddenRegion@CDMNodeObj@@QEAAHXZ
        176   AE 00022A40 ?IsInFlux@CDMNodeObj@@QEAAHXZ
        177   AF 00028340 ?IsLocalMachine@CTaskData@@QEAAHXZ
        178   B0 00022A60 ?IsMbrEEPartition@CDMNodeObj@@QEAAHXZ
        179   B1 00022AC0 ?IsMember@CDMNodeObj@@QEAAHPEAV1@@Z
        180   B2 00022B60 ?IsNEC_98Disk@CDMNodeObj@@QEAAHXZ
        181   B3 00013830 ?IsNEC_98Server@CDataCache@@QEAAHXZ
        182   B4 00028360 ?IsNEC_98Server@CTaskData@@QEAAHXZ
        183   B5 00028380 ?IsNTServer@CTaskData@@QEAAHXZ
        184   B6 00022C00 ?IsOemPartition@CDMNodeObj@@QEAAHXZ
        185   B7 00013850 ?IsPersonalOrLapTopServer@CDataCache@@QEAAHXZ
        186   B8 00013870 ?IsPostLonghornVdsVersion@CDataCache@@QEAAHXZ
        187   B9 000283A0 ?IsPostLonghornVdsVersion@CTaskData@@QEAAHXZ
        188   BA 00013890 ?IsPreLonghornVdsVersion@CDataCache@@QEAAHXZ
        189   BB 000283C0 ?IsPreLonghornVdsVersion@CTaskData@@QEAAHXZ
        191   BC 00022CC0 ?IsRevertable@CDMNodeObj@@QEAAHXZ
        192   BD 000283E0 ?IsSecureSystemPartition@CTaskData@@QEAAHXZ
        193   BE 00022D90 ?IsSpacesProtectivePartition@CDMNodeObj@@QEAAHXZ
