
Dump of file C:\Windows\System32\ucrtbased.dll

File Type: DLL

  Section contains the following exports for ucrtbased.dll

    00000000 characteristics
    B8B20920 time date stamp
        0.00 version
           1 ordinal base
        2547 number of functions
        2547 number of names

    ordinal hint RVA      name

        556  22B 000565C0 _lock_locales
        557  22C 00106E30 _locking
        558  22D 00126FC0 _logb
        559  22E 00127150 _logbf
        560  22F 000BC870 _lrotl
        561  230 000BC910 _lrotr
        562  231 000BAD10 _lsearch
        563  232 000BB190 _lsearch_s
        564  233 00107A70 _lseek
        565  234 00107AD0 _lseeki64
        566  235 0004EAC0 _ltoa
        567  236 0004EB30 _ltoa_s
        568  237 0004EBA0 _ltow
        569  238 0004EC10 _ltow_s
        570  239 000FC960 _makepath
        571  23A 000FC9C0 _makepath_s
        572  23B 00055480 _malloc_base
        573  23C 000549E0 _malloc_dbg
        574  23D 00027BF0 _mbbtombc
        575  23E 00027B40 _mbbtombc_l
        576  23F 00021400 _mbbtype
        577  240 00021370 _mbbtype_l
        578  241 001B4D78 _mbcasemap
        579  242 00021440 _mbccpy
        580  243 00021410 _mbccpy_l
        581  244 00021470 _mbccpy_s
        582  245 00021490 _mbccpy_s_l
        583  246 00027A50 _mbcjistojms
        584  247 000279A0 _mbcjistojms_l
        585  248 00027B30 _mbcjmstojis
        586  249 00027A60 _mbcjmstojis_l
        587  24A 000216A0 _mbclen
        588  24B 00021660 _mbclen_l
        589  24C 00027790 _mbctohira
        590  24D 00027750 _mbctohira_l
        591  24E 000277D0 _mbctokata
        592  24F 000277A0 _mbctokata_l
        593  250 000278B0 _mbctolower
        594  251 000277E0 _mbctolower_l
        595  252 00027CD0 _mbctombb
        596  253 00027C00 _mbctombb_l
        597  254 00027990 _mbctoupper
        598  255 000278C0 _mbctoupper_l
        599  256 00045C00 _mblen_l
        600  257 000219D0 _mbsbtype
        601  258 00021860 _mbsbtype_l
        602  259 000219E0 _mbscat_s
        603  25A 000219F0 _mbscat_s_l
        604  25B 00021EA0 _mbschr
        605  25C 00021D80 _mbschr_l
        606  25D 00022010 _mbscmp
        607  25E 00021EB0 _mbscmp_l
        608  25F 00022150 _mbscoll
        609  260 00022020 _mbscoll_l
        610  261 00022160 _mbscpy_s
        611  262 00022170 _mbscpy_s_l
        612  263 000225E0 _mbscspn
        613  264 00022480 _mbscspn_l
        614  265 000226F0 _mbsdec
        615  266 000225F0 _mbsdec_l
        616  267 000BEC60 _mbsdup
        617  268 000BEC90 _mbsdup_dbg
        618  269 00022970 _mbsicmp
        619  26A 00022700 _mbsicmp_l
        620  26B 00022AB0 _mbsicoll
        621  26C 00022980 _mbsicoll_l
        622  26D 00022B00 _mbsinc
        623  26E 00022AC0 _mbsinc_l
        624  26F 00022C30 _mbslen
        625  270 00022BB0 _mbslen_l
        626  271 00022FB0 _mbslwr
        627  272 00022F70 _mbslwr_l
        628  273 00022F60 _mbslwr_s
        629  274 00022CF0 _mbslwr_s_l
        630  275 000231A0 _mbsnbcat
        631  276 00022FF0 _mbsnbcat_l
        632  277 000231B0 _mbsnbcat_s
        633  278 000231D0 _mbsnbcat_s_l
        634  279 000237E0 _mbsnbcmp
        635  27A 00023650 _mbsnbcmp_l
        636  27B 000238E0 _mbsnbcnt
        637  27C 000237F0 _mbsnbcnt_l
        638  27D 00023AC0 _mbsnbcoll
        639  27E 000238F0 _mbsnbcoll_l
        640  27F 00023C30 _mbsnbcpy
        641  280 00023AD0 _mbsnbcpy_l
        642  281 00023C40 _mbsnbcpy_s
        643  282 00023C60 _mbsnbcpy_s_l
        644  283 00024250 _mbsnbicmp
        645  284 00024040 _mbsnbicmp_l
        646  285 00024420 _mbsnbicoll
        647  286 00024260 _mbsnbicoll_l
        648  287 000245C0 _mbsnbset
        649  288 00024430 _mbsnbset_l
        650  289 000245D0 _mbsnbset_s
        651  28A 000245F0 _mbsnbset_s_l
        652  28B 00024B40 _mbsncat
        653  28C 000249A0 _mbsncat_l
        654  28D 00024B50 _mbsncat_s
        655  28E 00024B70 _mbsncat_s_l
        656  28F 000250A0 _mbsnccnt
        657  290 00024FB0 _mbsnccnt_l
        658  291 00025220 _mbsncmp
        659  292 000250B0 _mbsncmp_l
        660  293 00025420 _mbsncoll
        661  294 00025230 _mbsncoll_l
        662  295 00025580 _mbsncpy
        663  296 00025430 _mbsncpy_l
        664  297 00025590 _mbsncpy_s
        665  298 000255B0 _mbsncpy_s_l
        666  299 00025A60 _mbsnextc
        667  29A 00025990 _mbsnextc_l
        668  29B 00025C60 _mbsnicmp
        669  29C 00025A70 _mbsnicmp_l
        670  29D 00025E60 _mbsnicoll
        671  29E 00025C70 _mbsnicoll_l
        672  29F 00025EA0 _mbsninc
        673  2A0 00025E70 _mbsninc_l
        674  2A1 00022CE0 _mbsnlen
        675  2A2 00022C40 _mbsnlen_l
        676  2A3 000260C0 _mbsnset
        677  2A4 00025ED0 _mbsnset_l
        678  2A5 000260D0 _mbsnset_s
        679  2A6 000260F0 _mbsnset_s_l
        680  2A7 000265D0 _mbspbrk
        681  2A8 00026480 _mbspbrk_l
        682  2A9 00026700 _mbsrchr
        683  2AA 000265E0 _mbsrchr_l
        684  2AB 000268C0 _mbsrev
