
Dump of file C:\Windows\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

        134               [NONAME] (forwarded to USER32.RemovePropW)
        135               [NONAME] (forwarded to USER32.SendDlgItemMessageW)
        136               [NONAME] (forwarded to USER32.SendMessageW)
        137               [NONAME] (forwarded to KERNEL32.SetCurrentDirectoryW)
        138               [NONAME] (forwarded to USER32.SetDlgItemTextW)
        139               [NONAME] (forwarded to USER32.SetMenuItemInfoW)
        140               [NONAME] (forwarded to USER32.SetPropW)
        141               [NONAME] (forwarded to USER32.SetWindowLongW)
        142               [NONAME] (forwarded to USER32.SetWindowsHookExW)
        143               [NONAME] (forwarded to USER32.SetWindowTextW)
        144               [NONAME] (forwarded to GDI32.StartDocW)
        145               [NONAME] (forwarded to USER32.SystemParametersInfoW)
        146               [NONAME] (forwarded to USER32.TranslateAcceleratorW)
        147               [NONAME] (forwarded to USER32.UnregisterClassW)
        148               [NONAME] (forwarded to USER32.VkKeyScanW)
        149               [NONAME] (forwarded to USER32.WinHelpW)
        150               [NONAME] (forwarded to USER32.wvsprintfW)
        159               [NONAME] (forwarded to KERNEL32.CompareStringW)
        160      0001AB90 [NONAME]
        161               [NONAME] (forwarded to SHUNIMPL.#472)
        162      0000F490 [NONAME]
        165      000077F0 [NONAME]
        166               [NONAME] (forwarded to SHCORE.#102)
        167      00009400 [NONAME]
        170      00014DF0 [NONAME]
        171               [NONAME] (forwarded to SHUNIMPL.#246)
        173      00009A90 [NONAME]
        175               [NONAME] (forwarded to SHCORE.#142)
        177      0001CEE0 [NONAME]
        178      000094D0 [NONAME]
        179      00009010 [NONAME]
        180      0001D530 [NONAME]
        181      0001CA60 [NONAME]
        182      0001C8A0 [NONAME]
        183      0001D4A0 [NONAME]
        186      0001D810 [NONAME]
        187      00006C50 [NONAME]
        188               [NONAME] (forwarded to SHUNIMPL.#451)
        189               [NONAME] (forwarded to SHUNIMPL.#452)
        190      0001C020 [NONAME]
        192      00008F20 [NONAME]
        193      000079E0 [NONAME]
        194               [NONAME] (forwarded to SHCORE.#160)
        195      0001CE30 [NONAME]
        196               [NONAME] (forwarded to SHUNIMPL.#243)
        197      000061E0 [NONAME]
        198      0001D640 [NONAME]
        200      0001C6D0 [NONAME]
        201      0001C610 [NONAME]
        202      0001C510 [NONAME]
        205               [NONAME] (forwarded to SHCORE.#124)
        206               [NONAME] (forwarded to SHCORE.#125)
        207               [NONAME] (forwarded to SHUNIMPL.#453)
        208      00009870 [NONAME]
        209      00008EE0 [NONAME]
        210      00009720 [NONAME]
        211      00008D10 [NONAME]
        216               [NONAME] (forwarded to SHCORE.#150)
        220      0001D6D0 [NONAME]
        221      0001D5A0 [NONAME]
        222               [NONAME] (forwarded to SHUNIMPL.#139)
        223               [NONAME] (forwarded to SHUNIMPL.#140)
        224               [NONAME] (forwarded to SHUNIMPL.#141)
        226               [NONAME] (forwarded to SHUNIMPL.#244)
        227               [NONAME] (forwarded to SHUNIMPL.#245)
        228      0002B470 [NONAME]
        229      0002B680 [NONAME]
        230      0002B510 [NONAME]
        231      00007AA0 [NONAME]
        232      0002B5C0 [NONAME]
        233      00007AF0 [NONAME]
        234      0002B380 [NONAME]
        235      0002B3B0 [NONAME]
        237      0001D510 [NONAME]
        238      0001D950 [NONAME]
        239      00005A70 [NONAME]
        240      000062C0 [NONAME]
        241               [NONAME] (forwarded to SHUNIMPL.#142)
        242               [NONAME] (forwarded to SHUNIMPL.#143)
        243               [NONAME] (forwarded to SHUNIMPL.#144)
        244               [NONAME] (forwarded to SHUNIMPL.#145)
        245               [NONAME] (forwarded to SHUNIMPL.#146)
        246               [NONAME] (forwarded to SHUNIMPL.#147)
        247               [NONAME] (forwarded to SHUNIMPL.#148)
        248               [NONAME] (forwarded to SHUNIMPL.#149)
        249               [NONAME] (forwarded to SHUNIMPL.#150)
        250               [NONAME] (forwarded to SHUNIMPL.#152)
        251               [NONAME] (forwarded to SHUNIMPL.#153)
        252               [NONAME] (forwarded to SHUNIMPL.#154)
        253               [NONAME] (forwarded to SHUNIMPL.#155)
        254               [NONAME] (forwarded to SHUNIMPL.#156)
        255               [NONAME] (forwarded to SHUNIMPL.#157)
        257      0001C8C0 [NONAME]
        258               [NONAME] (forwarded to SHUNIMPL.#158)
        259               [NONAME] (forwarded to SHUNIMPL.#159)
        260               [NONAME] (forwarded to SHCORE.#162)
        261               [NONAME] (forwarded to SHUNIMPL.#160)
        262               [NONAME] (forwarded to SHUNIMPL.#161)
