
Dump of file C:\Windows\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    7D6DD8B0 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         477 number of names

    ordinal hint RVA      name

        595  1C9 001B4320 StrNCmpIA
        596  1CA 001B43E0 StrNCmpIW
        597  1CB 001B44B0 StrNCmpW
        598  1CC 00114900 StrRChrA
        599  1CD 00114910 StrRChrIA
        600  1CE 00114920 StrRChrIW
        601  1CF 00114930 StrRChrW
        602  1D0 001B45A0 StrRStrA
        603  1D1 00114940 StrRStrIA
        604  1D2 00114950 StrRStrIW
        605  1D3 001B4680 StrRStrW
        606  1D4 00114960 StrStrA
        607  1D5 00114970 StrStrIA
        608  1D6 00114980 StrStrIW
        609  1D7 00114990 StrStrW
        610  1D8 0001C240 UsersLibrariesFolderUI_CreateInstance
        611  1D9 001E19A0 WOWShellExecute
        612  1DA 00258E10 WaitForExplorerRestartW
        164  1DB 001B4EB0 Win32DeleteFile
        652  1DC 000185A0 WriteCabinetState
          5               [NONAME] (forwarded to SHUNIMPL.#35)
          7               [NONAME] (forwarded to SHUNIMPL.#192)
          8               [NONAME] (forwarded to SHUNIMPL.#193)
         12      002BA850 [NONAME]
         15      00274120 [NONAME]
         20      00069DF0 [NONAME]
         26               [NONAME] (forwarded to SHUNIMPL.#36)
         29      0023A390 [NONAME]
         30               [NONAME] (forwarded to shlwapi.PathBuildRootW)
         31               [NONAME] (forwarded to shlwapi.PathFindExtensionW)
         32               [NONAME] (forwarded to shlwapi.PathAddBackslashW)
         33               [NONAME] (forwarded to shlwapi.PathRemoveBlanksW)
         34               [NONAME] (forwarded to shlwapi.PathFindFileNameW)
         35      0023ABD0 [NONAME]
         36      00239ED0 [NONAME]
         37               [NONAME] (forwarded to shlwapi.PathCombineW)
         38               [NONAME] (forwarded to shlwapi.PathStripPathW)
         39               [NONAME] (forwarded to shlwapi.PathIsUNCW)
         40               [NONAME] (forwarded to shlwapi.PathIsRelativeW)
         44      0023D0A0 [NONAME]
         45      0023A0E0 [NONAME]
         46               [NONAME] (forwarded to shlwapi.PathMatchSpecW)
         48               [NONAME] (forwarded to shlwapi.PathSetDlgItemPathW)
         50               [NONAME] (forwarded to shlwapi.PathStripToRootW)
         52               [NONAME] (forwarded to shlwapi.PathGetArgsW)
