
Dump of file C:\Windows\System32\migwiz\csiagent.dll

File Type: DLL

  Section contains the following exports for csiagent.dll

    00000000 characteristics
    9BEEE246 time date stamp
        0.00 version
           1 ordinal base
         197 number of functions
         197 number of names

    ordinal hint RVA      name

        183   B5 00002EF0 ?get_ManifestFile@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        184   B6 000021C0 ?get_MigXmlID@CComponentState@Mig@@QEAAPEAVString@UnBCL@@XZ
        185   B7 00002F10 ?get_Name@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        186   B8 00015130 ?get_P@?$SmartPtr@V?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@UnBCL@@@UnBCL@@QEBAPEAV?$ArrayList@PEAV?$DictionaryEntry@PEAVString@UnBCL@@PEAV12@@UnBCL@@@2@XZ
        187   B9 00015130 ?get_P@?$SmartPtr@VXmlDocument@UnBCL@@@UnBCL@@QEBAPEAVXmlDocument@2@XZ
        188   BA 00002FE0 ?get_Processed@CReplManData@Mig@@QEAAHXZ
        189   BB 00002F90 ?get_ReplacementVersion@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        190   BC 00002F50 ?get_SettingsVersionRange@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        191   BD 00002F30 ?get_Version@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        192   BE 00002F70 ?get_VersionRange@CReplManData@Mig@@QEAAPEAVString@UnBCL@@XZ
        193   BF 000085E0 ?set_DisplayID@CComponentState@Mig@@QEAAXPEAVString@UnBCL@@@Z
        194   C0 00008630 ?set_DisplayStringTable@CComponentState@Mig@@QEAAXPEAV?$Hashtable@PEAVString@UnBCL@@PEAV12@@UnBCL@@@Z
        195   C1 000021F0 ?set_Hidden@CComponentState@Mig@@QEAAXH@Z
        196   C2 000085D0 ?set_MigXmlID@CComponentState@Mig@@QEAAXPEAVString@UnBCL@@@Z
        197   C3 00002FF0 ?set_Processed@CReplManData@Mig@@QEAAXH@Z
        149   C4 0000BDD0 LoadAgent

  Summary

        8000 .data
        4000 .pdata
       48000 .rdata
        2000 .reloc
        3000 .rsrc
       4F000 .text
