
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        373  174 001BF960 cuMemcpyHtoA_v2_ptds
        374  175 001E7BE0 cuMemcpyHtoD
        375  176 001E94F0 cuMemcpyHtoDAsync
        376  177 001EFA30 cuMemcpyHtoDAsync_v2
        377  178 001C0AC0 cuMemcpyHtoDAsync_v2_ptsz
        378  179 001EE090 cuMemcpyHtoD_v2
        379  17A 001BEF20 cuMemcpyHtoD_v2_ptds
        380  17B 001F1550 cuMemcpyPeer
        381  17C 001F1740 cuMemcpyPeerAsync
        382  17D 001C08C0 cuMemcpyPeerAsync_ptsz
        383  17E 001BED30 cuMemcpyPeer_ptds
        384  17F 001BEB10 cuMemcpy_ptds
        385  180 001EA0E0 cuMemsetD16
        386  181 001F1F00 cuMemsetD16Async
        387  182 001C2980 cuMemsetD16Async_ptsz
        388  183 001F0650 cuMemsetD16_v2
        389  184 001C1CA0 cuMemsetD16_v2_ptds
        390  185 001EA760 cuMemsetD2D16
        391  186 001F2530 cuMemsetD2D16Async
        392  187 001C2FB0 cuMemsetD2D16Async_ptsz
        393  188 001F0CE0 cuMemsetD2D16_v2
        394  189 001C2330 cuMemsetD2D16_v2_ptds
        395  18A 001EA980 cuMemsetD2D32
        396  18B 001F2730 cuMemsetD2D32Async
        397  18C 001C31B0 cuMemsetD2D32Async_ptsz
        398  18D 001F0F00 cuMemsetD2D32_v2
        399  18E 001C2550 cuMemsetD2D32_v2_ptds
        400  18F 001EA540 cuMemsetD2D8
        401  190 001F2330 cuMemsetD2D8Async
        402  191 001C2DB0 cuMemsetD2D8Async_ptsz
        403  192 001F0AC0 cuMemsetD2D8_v2
        404  193 001C2110 cuMemsetD2D8_v2_ptds
        405  194 001EA320 cuMemsetD32
        406  195 001F2120 cuMemsetD32Async
        407  196 001C2BA0 cuMemsetD32Async_ptsz
        408  197 001F0890 cuMemsetD32_v2
