
Dump of file C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_518f2921ba495409\igdgmm64.dll

File Type: DLL

  Section contains the following exports for igdgmm64.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         287 number of functions
         287 number of names

    ordinal hint RVA      name

        131   82 0016E6C0 ?GetOverrideGfxPartition@GmmClientContext@GmmLib@@AEAA?AU__GMM_GFX_PARTITIONING@@PEAU3@TGMM_ESCAPE_HANDLE_REC@@1TGMM_ESCAPE_FUNC_TYPE_REC@@@Z
        132   83 001476E0 ?GetPackedMipTailStartLod@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        133   84 001459F0 ?GetPaddedHeight@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        134   85 00145B00 ?GetPaddedPitch@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        135   86 001458D0 ?GetPaddedWidth@GmmResourceInfoCommon@GmmLib@@UEAAII@Z
        136   87 00002740 ?GetPlanarAuxOffset@GmmResourceInfoCommon@GmmLib@@UEAA_KIW4GMM_UNIFIED_AUX_TYPE@@@Z
        137   88 00002860 ?GetPlanarXOffset@GmmResourceInfoCommon@GmmLib@@UEAA_KW4GMM_YUV_PLANE_ENUM@@@Z
        138   89 00002870 ?GetPlanarYOffset@GmmResourceInfoCommon@GmmLib@@UEAA_KW4GMM_YUV_PLANE_ENUM@@@Z
        139   8A 0016CAB0 ?GetPlatformInfo@GmmClientContext@GmmLib@@UEAAAEAU__GMM_PLATFORM_RESOURCE_REC@@XZ
        140   8B 001452C0 ?GetPlatformInfo@GmmResourceInfoCommon@GmmLib@@MEAAAEBU__GMM_PLATFORM_RESOURCE_REC@@XZ
        141   8C 00002880 ?GetPrivateData@GmmResourceInfoCommon@GmmLib@@UEAAPEAXXZ
        142   8D 00145B50 ?GetQPitch@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        143   8E 00002890 ?GetQPitchInBytes@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        144   8F 000028A0 ?GetQPitchPlanar@GmmResourceInfoCommon@GmmLib@@UEAAIW4GMM_YUV_PLANE_ENUM@@@Z
        145   90 000028E0 ?GetRefreshRate@GmmResourceInfoWin@GmmLib@@UEAA?AU_D3DDDI_RATIONAL@@XZ
        146   91 000028F0 ?GetRenderAuxPitchTiles@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        147   92 00002970 ?GetRenderPitch@GmmResourceInfoCommon@GmmLib@@UEAA_KXZ
        148   93 0014A3C0 ?GetRenderPitchIn64KBTiles@GmmResourceInfoWin@GmmLib@@UEAAIXZ
        149   94 00002980 ?GetRenderPitchTiles@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        150   95 00002A30 ?GetResFlags@GmmResourceInfoCommon@GmmLib@@UEAAAEAUGMM_RESOURCE_FLAG_REC@@XZ
        151   96 00002A40 ?GetResourceFormat@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_RESOURCE_FORMAT_ENUM@@XZ
        152   97 00147AE0 ?GetResourceFormatSurfaceState@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_SURFACESTATE_FORMAT_ENUM@@XZ
        153   98 00002A50 ?GetResourceType@GmmResourceInfoCommon@GmmLib@@UEAA?AW4GMM_RESOURCE_TYPE_ENUM@@XZ
        154   99 0014A0E0 ?GetRestrictions@GmmResourceInfoCommon@GmmLib@@UEAAXAEAU__GMM_BUFFER_TYPE_REC@@@Z
        155   9A 00002A60 ?GetRotateInfo@GmmResourceInfoCommon@GmmLib@@UEAAIXZ
        156   9B 0016F720 ?GetSLMaddressRange@GmmClientContext@GmmLib@@UEAA_KTGMM_ESCAPE_HANDLE_REC@@0_KTGMM_ESCAPE_FUNC_TYPE_REC@@@Z
