
Dump of file C:\Windows\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    E1D764F5 time date stamp
        0.00 version
        1000 ordinal base
         556 number of functions
         555 number of names

    ordinal hint RVA      name

       1397  187 00060FE0 RpcBindingSetObject
       1398  188 0000CE40 RpcBindingSetOption
       1399  189 00009B60 RpcBindingToStringBindingA
       1400  18A 0003B760 RpcBindingToStringBindingW
       1401  18B 00063390 RpcBindingUnbind
       1402  18C 00030220 RpcBindingVectorFree
       1403  18D 000B1530 RpcCancelThread
       1404  18E 000B1580 RpcCancelThreadEx
       1405  18F 000B5290 RpcCertGeneratePrincipalNameA
       1406  190 000A5F10 RpcCertGeneratePrincipalNameW
       1017  191 000A5D00 RpcCertMatchPrincipalName
       1407  192 0006CDC0 RpcEpRegisterA
       1408  193 000B5850 RpcEpRegisterNoReplaceA
       1409  194 000B5940 RpcEpRegisterNoReplaceW
       1410  195 000312D0 RpcEpRegisterW
       1411  196 000661C0 RpcEpResolveBinding
       1412  197 00030AA0 RpcEpUnregister
       1413  198 000B4770 RpcErrorAddRecord
       1414  199 000B48B0 RpcErrorClearInformation
       1415  19A 000678E0 RpcErrorEndEnumeration
       1416  19B 00065260 RpcErrorGetNextRecord
       1417  19C 000B48C0 RpcErrorGetNumberOfRecords
       1418  19D 000B48F0 RpcErrorLoadErrorInfo
       1419  19E 000B4930 RpcErrorResetEnumeration
       1420  19F 000B4960 RpcErrorSaveErrorInfo
       1421  1A0 00066B70 RpcErrorStartEnumeration
       1422  1A1 00059B20 RpcExceptionFilter
       1423  1A2 00067950 RpcFreeAuthorizationContext
       1424  1A3 000662D0 RpcGetAuthorizationContextForClient
       1425  1A4 000A4CD0 RpcIfIdVectorFree
       1426  1A5 00009A70 RpcIfInqId
       1427  1A6 00057420 RpcImpersonateClient
       1428  1A7 0004A7F0 RpcImpersonateClient2
       1429  1A8 000A4D40 RpcImpersonateClientContainer
       1430  1A9 00072310 RpcMgmtEnableIdleCleanup
       1431  1AA 000B59E0 RpcMgmtEpEltInqBegin
       1432  1AB 000B5C90 RpcMgmtEpEltInqDone
       1433  1AC 000B5D70 RpcMgmtEpEltInqNextA
       1434  1AD 000B6240 RpcMgmtEpEltInqNextW
       1435  1AE 000B62B0 RpcMgmtEpUnregister
       1436  1AF 000A60A0 RpcMgmtInqComTimeout
       1437  1B0 000ADDC0 RpcMgmtInqDefaultProtectLevel
       1438  1B1 000A4E00 RpcMgmtInqIfIds
       1439  1B2 00071410 RpcMgmtInqServerPrincNameA
       1440  1B3 00071470 RpcMgmtInqServerPrincNameW
       1441  1B4 000A4EC0 RpcMgmtInqStats
       1442  1B5 0006B620 RpcMgmtIsServerListening
       1443  1B6 000B62D0 RpcMgmtSetAuthorizationFn
       1444  1B7 000643A0 RpcMgmtSetCancelTimeout
       1445  1B8 0000CDD0 RpcMgmtSetComTimeout
       1446  1B9 00066930 RpcMgmtSetServerStackSize
       1447  1BA 000A5000 RpcMgmtStatsVectorFree
       1448  1BB 00068CC0 RpcMgmtStopServerListening
